Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,2010,2010,3050,FAO TIER 1,kt,8328.208,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,2011,2011,3050,FAO TIER 1,kt,8759.9195,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,2012,2012,3050,FAO TIER 1,kt,8786.6315,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,2013,2013,3050,FAO TIER 1,kt,10147.062,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,2014,2014,3050,FAO TIER 1,kt,10587.863,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,2015,2015,3050,FAO TIER 1,kt,11289.106,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,2016,2016,3050,FAO TIER 1,kt,10439.198,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,2017,2017,3050,FAO TIER 1,kt,12610.6345,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,2018,2018,3050,FAO TIER 1,kt,12232.453,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,2019,2019,3050,FAO TIER 1,kt,12830.399,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,2020,2020,3050,FAO TIER 1,kt,13454.2885,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,2021,2021,3050,FAO TIER 1,kt,13684.547,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,2022,2022,3050,FAO TIER 1,kt,14165.363,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5060,Rice Cultivation,2010,2010,3050,FAO TIER 1,kt,4951.8252,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5060,Rice Cultivation,2011,2011,3050,FAO TIER 1,kt,5007.1784,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5060,Rice Cultivation,2012,2012,3050,FAO TIER 1,kt,4389.4816,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5060,Rice Cultivation,2013,2013,3050,FAO TIER 1,kt,4280.1024,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5060,Rice Cultivation,2014,2014,3050,FAO TIER 1,kt,4257.7752,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5060,Rice Cultivation,2015,2015,3050,FAO TIER 1,kt,3889.4884,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5060,Rice Cultivation,2016,2016,3050,FAO TIER 1,kt,3535.7896,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5060,Rice Cultivation,2017,2017,3050,FAO TIER 1,kt,3649.0412,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5060,Rice Cultivation,2018,2018,3050,FAO TIER 1,kt,3405.2256,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5060,Rice Cultivation,2019,2019,3050,FAO TIER 1,kt,3110.3996,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5060,Rice Cultivation,2020,2020,3050,FAO TIER 1,kt,3051.5436,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5060,Rice Cultivation,2021,2021,3050,FAO TIER 1,kt,3072.4344,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5060,Rice Cultivation,2022,2022,3050,FAO TIER 1,kt,2952.8072,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5066,Burning - Crop residues,2010,2010,3050,FAO TIER 1,kt,1972.318,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5066,Burning - Crop residues,2011,2011,3050,FAO TIER 1,kt,2055.2497,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5066,Burning - Crop residues,2012,2012,3050,FAO TIER 1,kt,2127.7452,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5066,Burning - Crop residues,2013,2013,3050,FAO TIER 1,kt,2262.9617,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5066,Burning - Crop residues,2014,2014,3050,FAO TIER 1,kt,2318.6459,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5066,Burning - Crop residues,2015,2015,3050,FAO TIER 1,kt,2273.2161,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5066,Burning - Crop residues,2016,2016,3050,FAO TIER 1,kt,2217.385,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5066,Burning - Crop residues,2017,2017,3050,FAO TIER 1,kt,2439.9749,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5066,Burning - Crop residues,2018,2018,3050,FAO TIER 1,kt,2307.0429,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5066,Burning - Crop residues,2019,2019,3050,FAO TIER 1,kt,2434.5385,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5066,Burning - Crop residues,2020,2020,3050,FAO TIER 1,kt,2509.3213,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5066,Burning - Crop residues,2021,2021,3050,FAO TIER 1,kt,2588.7291,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5066,Burning - Crop residues,2022,2022,3050,FAO TIER 1,kt,2788.0837,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5058,Enteric Fermentation,2010,2010,3050,FAO TIER 1,kt,348900.132,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5058,Enteric Fermentation,2011,2011,3050,FAO TIER 1,kt,354363.2288,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5058,Enteric Fermentation,2012,2012,3050,FAO TIER 1,kt,351390.1524,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5058,Enteric Fermentation,2013,2013,3050,FAO TIER 1,kt,352340.7496,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5058,Enteric Fermentation,2014,2014,3050,FAO TIER 1,kt,353464.2916,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5058,Enteric Fermentation,2015,2015,3050,FAO TIER 1,kt,357477.3552,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5058,Enteric Fermentation,2016,2016,3050,FAO TIER 1,kt,361476.6036,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5058,Enteric Fermentation,2017,2017,3050,FAO TIER 1,kt,355355.9856,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5058,Enteric Fermentation,2018,2018,3050,FAO TIER 1,kt,353530.926,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5058,Enteric Fermentation,2019,2019,3050,FAO TIER 1,kt,355725.9636,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5058,Enteric Fermentation,2020,2020,3050,FAO TIER 1,kt,360330.7596,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5058,Enteric Fermentation,2021,2021,3050,FAO TIER 1,kt,370889.61,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5058,Enteric Fermentation,2022,2022,3050,FAO TIER 1,kt,386455.7396,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5059,Manure Management,2010,2010,3050,FAO TIER 1,kt,12203.0792,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5059,Manure Management,2011,2011,3050,FAO TIER 1,kt,12368.317,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5059,Manure Management,2012,2012,3050,FAO TIER 1,kt,12241.7799,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5059,Manure Management,2013,2013,3050,FAO TIER 1,kt,12047.1267,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5059,Manure Management,2014,2014,3050,FAO TIER 1,kt,12267.0173,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5059,Manure Management,2015,2015,3050,FAO TIER 1,kt,12526.0696,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5059,Manure Management,2016,2016,3050,FAO TIER 1,kt,12640.306,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5059,Manure Management,2017,2017,3050,FAO TIER 1,kt,12699.8334,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5059,Manure Management,2018,2018,3050,FAO TIER 1,kt,12673.2618,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5059,Manure Management,2019,2019,3050,FAO TIER 1,kt,12642.8691,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5059,Manure Management,2020,2020,3050,FAO TIER 1,kt,12817.3606,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5059,Manure Management,2021,2021,3050,FAO TIER 1,kt,13188.1666,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5059,Manure Management,2022,2022,3050,FAO TIER 1,kt,13723.7839,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5063,Manure left on Pasture,2010,2010,3050,FAO TIER 1,kt,87008.9075,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5063,Manure left on Pasture,2011,2011,3050,FAO TIER 1,kt,88378.3745,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5063,Manure left on Pasture,2012,2012,3050,FAO TIER 1,kt,87656.2495,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5063,Manure left on Pasture,2013,2013,3050,FAO TIER 1,kt,87883.5665,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5063,Manure left on Pasture,2014,2014,3050,FAO TIER 1,kt,88283.531,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5063,Manure left on Pasture,2015,2015,3050,FAO TIER 1,kt,89885.721,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5063,Manure left on Pasture,2016,2016,3050,FAO TIER 1,kt,91370.8605,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5063,Manure left on Pasture,2017,2017,3050,FAO TIER 1,kt,90585.1885,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5063,Manure left on Pasture,2018,2018,3050,FAO TIER 1,kt,90319.0225,E,Estimated value
GT,Emissions totals,76,Brazil,723113,Emissions (CO2eq) (AR5),5063,Manure left on Pasture,2019,2019,3050,FAO TIER 1,kt,90966.8945,E,Estimated value
