Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3102,Nutrient nitrogen N (total),2010,2010,t,927493.1,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3102,Nutrient nitrogen N (total),2010,2010,t,2253830.54,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3102,Nutrient nitrogen N (total),2010,2010,t,89830.95,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2010,2010,t,3091463,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),2010,2010,kg/ha,45.13,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5172,Use per capita,3102,Nutrient nitrogen N (total),2010,2010,kg/cap,15.96,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3102,Nutrient nitrogen N (total),2011,2011,t,888308.36,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3102,Nutrient nitrogen N (total),2011,2011,t,3020028.5,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3102,Nutrient nitrogen N (total),2011,2011,t,85296.73,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2011,2011,t,3822967,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),2011,2011,kg/ha,55.56,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5172,Use per capita,3102,Nutrient nitrogen N (total),2011,2011,kg/cap,19.58,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3102,Nutrient nitrogen N (total),2012,2012,t,797713.89,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3102,Nutrient nitrogen N (total),2012,2012,t,2737121.07,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3102,Nutrient nitrogen N (total),2012,2012,t,78528.34,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2012,2012,t,3456072,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),2012,2012,kg/ha,50.02,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5172,Use per capita,3102,Nutrient nitrogen N (total),2012,2012,kg/cap,17.55,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3102,Nutrient nitrogen N (total),2013,2013,t,848885.74,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3102,Nutrient nitrogen N (total),2013,2013,t,3318719.42,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3102,Nutrient nitrogen N (total),2013,2013,t,102463.74,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2013,2013,t,4067449,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),2013,2013,kg/ha,58.61,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5172,Use per capita,3102,Nutrient nitrogen N (total),2013,2013,kg/cap,20.49,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3102,Nutrient nitrogen N (total),2014,2014,t,813012.06,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3102,Nutrient nitrogen N (total),2014,2014,t,3817095.57,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3102,Nutrient nitrogen N (total),2014,2014,t,106252.11,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2014,2014,t,4529777,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),2014,2014,kg/ha,65,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5172,Use per capita,3102,Nutrient nitrogen N (total),2014,2014,kg/cap,22.64,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3102,Nutrient nitrogen N (total),2015,2015,t,831223.85,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3102,Nutrient nitrogen N (total),2015,2015,t,2714416.45,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3102,Nutrient nitrogen N (total),2015,2015,t,90324.81,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2015,2015,t,3502212,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),2015,2015,kg/ha,50.04,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5172,Use per capita,3102,Nutrient nitrogen N (total),2015,2015,kg/cap,17.37,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3102,Nutrient nitrogen N (total),2016,2016,t,708327.87,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3102,Nutrient nitrogen N (total),2016,2016,t,3634011.51,I,Imputed value
